start	end	text
362492	362812	No?
362812	363613	Okay.
363613	366134	And you don't take any medications for your diabetes.
366134	370776	Do you take any medications for any other reasons?
370776	371156	No.
371156	373697	And you don't take anything from the pharmacist that you buy yourself?
373697	374557	No, no.
374557	375438	Okay.
375438	376918	Are you allergic to any medications?
379165	381046	No, not medications, no.
381046	383748	Are you allergic to anything else?
383748	386909	Yeah, cashews and nuts, actually.
386909	390491	And do you smoke?
390491	391552	No, I've stopped.
391552	392132	You've stopped?
392132	392412	Yeah.
392412	393313	Well done for stopping.
393313	395934	When did you stop?
395934	397075	Two weeks ago.
397075	397835	Okay.
397835	400757	And what triggered you to stop at that point?
400757	403558	I suppose it was just because I've been feeling so under the weather.
405918	408601	And I thought, well, no, I need to do something.
408601	411863	So I thought, well, start with smoking, I guess.
411863	412664	Yeah, absolutely.
412664	415687	And I think that was probably a good place to start.
415687	417668	When you were smoking, how many were you smoking a day?
417668	421752	About 25.
421752	422272	OK.
422272	423874	And when did you start smoking?
423874	424935	Oh, crikey, years ago.
424935	425715	I was about 14, 15.
425715	426196	OK.
426196	428518	All right.
428518	432261	And in terms of alcohol, do you drink alcohol?
432261	432922	Yeah, I do, yeah.
432922	433162	You do?
434042	437525	And in an average week, how much would you say you drank?
437525	442908	I'm not sure, really.
442908	443409	Okay.
443409	446091	How many times a week do you drink?
446091	449373	How many days a week?
449373	451174	Well, to be honest, it is most days, though.
451174	451875	Yeah.
451875	452375	Okay.
452375	452855	All right.
452855	455277	And what are you having to drink on these days?
455277	455998	Wine.
455998	456498	Yeah.
456498	457779	It's just wine.
457779	461161	And how many glasses of wine would you say you drank?
461161	462062	Maybe two or three.
462693	466615	Two or three small, large glasses?
466615	468355	Variable, I think, yeah.
468355	470396	But you're drinking every day at the moment.
470396	475599	And has that changed recently?
475599	488364	Well, I suppose it's become a bit more of a regular thing just because, I don't know, it just seems to help a bit at night time with the anxiety.
488364	490245	Okay, okay, I understand that.
490817	501205	It's important that we maybe try and cut down on the alcohol a bit, because you are drinking more than we'd recommend you drink, but we can talk a bit more about that a bit later on if you like.
501205	502826	Okay.
502826	505288	Now, do you take any other recreational drugs at all?
505288	506970	Oh no, no.
506970	508511	And what's your home situation like?
508511	510372	Who's with you at home?
510372	512694	Four girls, actually.
512694	516037	They're all at school, secondary school.
516037	518138	Divorced from a husband.
518138	518759	That was last year.
519918	522600	Okay, I mean, it sounds like you're quite busy.
522600	525601	Are you finding you're under a lot more stress at the moment?
525601	530304	Well, no more than usual, I suppose, but I mean, yeah, I do have quite a lot on.
530304	531945	Okay, alright, okay.
531945	539670	Do you have any family history of any medical problems?
539670	545393	Well, yeah, you know, my grandma, she had bowel cancer.
545393	547294	I don't know whether anybody else had that.
550429	556072	And I think my mom had a problem with her thyroid.
556072	558913	I know she had an operation or something when I was a little girl.
558913	560614	I'm not too sure.
560614	561975	Okay, all right.
561975	565116	With your gran, I know it's difficult to talk about her.
565116	569158	What age was she when she had the bowel cancer?
569158	570839	Maybe about 75, something like that.
570839	571799	Okay, all right.
574033	580660	Sounds like there's been quite a few things going on and I think it's probably important that I do a few things today.
580660	589610	Firstly, if it's alright with you, I'd like to examine you and then after that we'll send some blood tests off to check a few things over.
589610	593655	Do you have anything else in particular you're worried about or want to talk to me today about?
594448	600734	Well, yeah, I was just really, you know, it's linked to my grandma.
600734	608382	I was really wanting to see whether I could have a referral to have a colonoscopy.
608382	611365	Okay, and I know you were concerned about bowel cancer.
612060	617944	I think, first of all, I'd like to do those blood tests, because that'll tell us generally about how you are overall.
617944	628150	If there's any concern on there, I'm very happy to refer you for a colonoscopy, but let's do those blood tests first and see where we go from there, okay?
628150	635474	The weight loss and the diarrhea are obviously concerning features, but there's a few other things in there that make me think this might be something else as well.
635474	638256	But it is in the back of my mind, and we may probably need to...
639315	647482	So I think one of the first things I'm thinking about for you is the possibility that you also have issues with your thyroid.
647482	659792	So your mother had thyroid problems and there's a possibility you also have hyperactive thyroid, which can give you things like weight loss, the palpitations, that anxiety that you've been feeling.
659792	666438	Other things are that you may also be going through the menopause as well, which can give you a lot of the symptoms that you've been describing.
667158	670119	So these are the sort of main things I'm thinking about.
670119	673161	Also mental health conditions can affect us in many ways.
673161	678903	So the anxiety can give you palpitations, can affect your appetite and things, and you can lose weight that way.
678903	681584	Although you say you haven't changed your diet much.
681584	684465	But these are all things that it's worth exploring as well.
684465	695290	And if at the moment there aren't any features that are worrying me, particularly about bowel cancer, but it is in the back of my mind and I'm listening to that concern that you have.
695990	700551	Okay, so if nothing comes up I could have the colonoscopy then to rule it out?
700551	704832	Potentially yes, but let's do those blood tests first.
704832	706873	Is there anything else I can do for you today?
706873	708073	No, that's everything, thank you.
708073	711214	Okay, no worries, thank you very much.
711214	716615	Today I took a history from Lucy Daniels, a 46 year old woman who presents with weight loss and anxiety.
716615	719336	She has lost over 9 kilograms in 6 months.
719336	723937	She's been experiencing hot flushes and periodic palpitations as well as some intermittent diarrhea.
724478	726460	She's had no other symptoms.
726460	731764	She has a past medical history of type 2 diabetes for which she takes no regular medication.
731764	735568	She's an ex-smoker and drinks one to two glasses of wine a night.
735568	741112	Her main concern is that this might be bowel cancer, as her grandmother was recently diagnosed with bowel cancer.
741112	744275	My top differential in this case is hyperthyroidism.
744275	751862	To proceed, I would like to fully examine the patient, in particular to look for any peripheral evidence of hyperthyroidism and for any abnormality of the thyroid.
752574	756970	I would also like to perform thyroid function tests and ECG and consider further imaging
